epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1663,2.37738,12.9704,2.19902,0,0,0,0,nan,nan,nan,0.070411,0.00328767,0.00328767
2,53.9694,2.28942,3.07893,2.33977,0,0,0,0,nan,nan,nan,0.0403454,0.00655546,0.00655546
3,73.023,2.19376,3.04859,2.2812,0,0,0,0,nan,nan,nan,0.0102139,0.00975724,0.00975724
4,93.205,2.06415,2.73603,2.19997,5e-05,0.01529,3e-05,1e-05,nan,nan,nan,0.009703,0.009703,0.009703
5,115.691,2.03583,2.58339,2.10737,5e-05,0.02446,2e-05,1e-05,nan,nan,nan,0.009604,0.009604,0.009604
6,139.339,1.88572,2.29653,1.99581,0.00042,0.11945,0.00024,8e-05,nan,nan,nan,0.009505,0.009505,0.009505
7,160.141,1.75557,2.15871,1.89683,0.03504,0.14759,0.01369,0.00314,4.05221,28.0072,4.7328,0.009406,0.009406,0.009406
8,180.511,1.69292,1.95815,1.86218,0.29326,0.28558,0.19691,0.09282,2.01869,4.1572,2.45172,0.009307,0.009307,0.009307
9,200.552,1.70002,1.94506,1.85544,0.37658,0.54814,0.35416,0.18137,1.65379,2.05308,2.11483,0.009208,0.009208,0.009208
10,221.215,1.62024,1.95914,1.82939,0.15637,0.19982,0.10717,0.05576,1.95289,4.09747,2.52696,0.009109,0.009109,0.009109
11,241.048,1.71179,1.91353,1.79502,0.35205,0.49084,0.33705,0.18613,1.5522,1.92924,1.99522,0.00901,0.00901,0.00901
12,261.389,1.54073,1.87694,1.72796,0.37089,0.40695,0.29258,0.15271,1.70421,2.43902,2.08849,0.008911,0.008911,0.008911
13,281.455,1.52159,1.86828,1.7189,0.3771,0.63563,0.40322,0.22371,1.51054,1.78106,1.92662,0.008812,0.008812,0.008812
14,302.113,1.63565,1.88863,1.82586,0.4235,0.64121,0.41354,0.23414,1.4621,1.77911,1.84852,0.008713,0.008713,0.008713
15,322.047,1.55237,1.7175,1.66437,0.4148,0.64006,0.41577,0.24488,1.49078,1.71359,1.87993,0.008614,0.008614,0.008614
16,342.122,1.48596,1.7165,1.66132,0.39052,0.52891,0.33201,0.1774,1.68679,2.13208,2.18246,0.008515,0.008515,0.008515
17,362.098,1.51968,1.69206,1.68428,0.4243,0.5436,0.35316,0.18362,1.75384,2.10342,2.16073,0.008416,0.008416,0.008416
18,382.513,1.49946,1.70378,1.75951,0.43758,0.41627,0.28908,0.16966,1.66831,3.04474,2.18138,0.008317,0.008317,0.008317
19,402.495,1.4343,1.56956,1.60884,0.40322,0.66319,0.41873,0.25262,1.40045,1.61955,1.79631,0.008218,0.008218,0.008218
20,422.709,1.4518,1.64887,1.67885,0.40107,0.58034,0.37024,0.21285,1.57876,1.91642,1.94236,0.008119,0.008119,0.008119
21,442.294,1.43243,1.61342,1.62727,0.40194,0.70434,0.43416,0.27727,1.32469,1.55164,1.72766,0.00802,0.00802,0.00802
22,462.861,1.48165,1.59395,1.69215,0.42022,0.68127,0.40796,0.2517,1.4679,1.66637,1.86788,0.007921,0.007921,0.007921
23,482.503,1.37318,1.50802,1.58719,0.44722,0.72067,0.45389,0.26204,1.44341,1.5204,1.85547,0.007822,0.007822,0.007822
24,502.3,1.35668,1.4948,1.59437,0.44216,0.67019,0.43091,0.25524,1.43365,1.57551,1.82055,0.007723,0.007723,0.007723
25,522.153,1.38335,1.46528,1.61762,0.45102,0.63156,0.40872,0.25867,1.4688,1.73006,1.85883,0.007624,0.007624,0.007624
26,542.164,1.36655,1.47558,1.5508,0.43303,0.7141,0.43744,0.2713,1.36321,1.55741,1.76674,0.007525,0.007525,0.007525
27,562.159,1.40939,1.59334,1.57254,0.44167,0.7331,0.45384,0.27369,1.43527,1.51751,1.82945,0.007426,0.007426,0.007426
28,582.25,1.37609,1.52712,1.59711,0.44229,0.73668,0.46637,0.28203,1.38938,1.43244,1.77944,0.007327,0.007327,0.007327
29,602.603,1.47117,1.47594,1.61029,0.41355,0.78421,0.46068,0.28768,1.29519,1.50447,1.71283,0.007228,0.007228,0.007228
30,622.676,1.40799,1.49992,1.61365,0.42502,0.66945,0.40148,0.25569,1.38963,1.6701,1.78832,0.007129,0.007129,0.007129
31,642.798,1.36475,1.56102,1.60499,0.42729,0.68675,0.41868,0.27037,1.30982,1.59112,1.73723,0.00703,0.00703,0.00703
32,662.68,1.36608,1.53262,1.58255,0.44049,0.70698,0.45668,0.29668,1.29318,1.4581,1.69998,0.006931,0.006931,0.006931
33,683.27,1.25503,1.40483,1.4813,0.44643,0.71456,0.44466,0.27929,1.39505,1.55812,1.75639,0.006832,0.006832,0.006832
34,702.925,1.38871,1.45902,1.54827,0.4599,0.73557,0.46546,0.31135,1.27861,1.44841,1.66468,0.006733,0.006733,0.006733
35,723.112,1.2383,1.36305,1.49081,0.44445,0.77681,0.47197,0.31566,1.19586,1.34412,1.62044,0.006634,0.006634,0.006634
36,743.226,1.23579,1.3566,1.51136,0.45097,0.68092,0.4247,0.27261,1.34589,1.63155,1.74134,0.006535,0.006535,0.006535
37,763.236,1.36177,1.65653,1.55101,0.4755,0.80153,0.49361,0.32046,1.2816,1.40236,1.6616,0.006436,0.006436,0.006436
38,783.137,1.30127,1.43387,1.51281,0.42025,0.60992,0.37981,0.23791,1.45501,1.74342,1.83929,0.006337,0.006337,0.006337
39,802.823,1.18614,1.34781,1.42173,0.44073,0.79463,0.48157,0.31948,1.20449,1.36779,1.60436,0.006238,0.006238,0.006238
40,822.791,1.25172,1.35882,1.44982,0.43748,0.75919,0.47813,0.30711,1.30186,1.35568,1.69665,0.006139,0.006139,0.006139
