epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4386,1.99331,5.63031,1.95744,0.0003,0.07502,0.0003,9e-05,2.52539,inf,4.62731,0.0702655,0.00330383,0.00330383
2,71.8345,1.90521,2.4241,2.02673,0.02152,0.45851,0.01803,0.00699,2.13275,24.0545,2.92769,0.0401341,0.00650575,0.00650575
3,98.9974,1.71119,2.14785,1.8984,0.28583,0.31852,0.21372,0.1118,1.74616,9.47806,2.33215,0.00987065,0.00957567,0.00957567
4,125.008,1.71978,1.8932,1.86183,0.39704,0.56585,0.37377,0.1848,1.69718,2.20296,2.26156,0.009406,0.009406,0.009406
5,151.034,1.60597,1.84012,1.7521,0.01576,0.06289,0.0135,0.00697,3.16432,5.34793,3.98499,0.009208,0.009208,0.009208
6,176.755,1.57677,1.78238,1.71291,0.36144,0.37888,0.26605,0.14402,1.89321,2.91446,2.34528,0.00901,0.00901,0.00901
7,202.715,1.5333,1.81912,1.75421,0.37241,0.43658,0.30842,0.16186,1.7106,2.12231,2.14633,0.008812,0.008812,0.008812
8,228.735,1.50324,1.75393,1.69397,0.42576,0.61674,0.41454,0.25166,1.39812,1.66989,1.79889,0.008614,0.008614,0.008614
9,254.847,1.47971,1.69321,1.71413,0.38073,0.28522,0.19785,0.11423,2.10666,3.35589,2.46789,0.008416,0.008416,0.008416
10,280.656,1.44783,1.5839,1.5992,0.39381,0.618,0.39593,0.24359,1.45489,1.7396,1.89283,0.008218,0.008218,0.008218
11,306.6,1.48675,1.6582,1.63326,0.41958,0.71004,0.43384,0.27225,1.36399,1.97044,1.77369,0.00802,0.00802,0.00802
12,332.679,1.44246,1.5945,1.64253,0.44182,0.63572,0.42476,0.2709,1.30225,1.57349,1.71012,0.007822,0.007822,0.007822
13,358.539,1.34896,1.52716,1.58364,0.4359,0.69358,0.45235,0.29649,1.31179,1.50074,1.72617,0.007624,0.007624,0.007624
14,384.8,1.3593,1.53715,1.60111,0.43905,0.61748,0.39588,0.24427,1.44681,1.879,1.86412,0.007426,0.007426,0.007426
15,410.752,1.34095,1.47256,1.53558,0.44591,0.76258,0.45568,0.28385,1.31834,1.52655,1.71878,0.007228,0.007228,0.007228
16,436.724,1.30578,1.47334,1.54595,0.44441,0.76037,0.46311,0.30395,1.24501,1.40897,1.67972,0.00703,0.00703,0.00703
