epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4265,2.92852,440.696,3.49364,0,0,0,0,nan,nan,nan,0.0706383,0.00326241,0.00326241
2,43.248,4.33335,125.571,6.74512,0,0,0,0,nan,nan,nan,0.040573,0.00653045,0.00653045
3,59.056,4.42898,185.298,10.0131,0,0,0,0,nan,nan,nan,0.0104417,0.00973248,0.00973248
4,74.7914,3.24017,51.5984,6.87343,0,0,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,90.4792,2.74964,4.50198,3.8209,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,106.309,3.42154,5.80788,4.1907,0,0,0,0,0.93357,1.81654,2.12872,0.009505,0.009505,0.009505
7,122.122,4.25335,12.7843,6.61045,0.00142,0.01047,0.00073,0.00017,0.8402,29.6834,2.60524,0.009406,0.009406,0.009406
8,137.746,3.90091,5.55182,2.72682,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,153.248,4.24941,5.36177,2.38499,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,170.336,4.29651,1149.06,12.3118,0,0,0,0,0.22125,0.25041,4.23887,0.009109,0.009109,0.009109
11,185.904,4.12545,4.86064,2.47007,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,201.44,4.13087,4.84016,2.53486,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,217.021,4.00551,4.10343,2.04535,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,232.768,4.13984,4.0987,1.85968,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,248.735,4.02295,3.78697,1.83961,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,264.036,4.07634,3.65425,1.97743,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,279.42,4.04378,3.80644,1.71644,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,294.999,4.13879,5.93199,1.90672,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,310.988,4.1236,3.80577,1.84474,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,326.538,4.0855,3.51539,1.79183,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,341.948,3.95205,3.46145,1.7658,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,357.441,3.93504,3.48365,1.77491,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,373.415,4.11218,3.52932,1.77669,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,389.008,4.07862,3.33085,1.78474,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,404.834,4.00242,3.29572,1.70895,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,420.501,3.52636,3.88194,1.66409,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,435.975,3.33339,3.48398,1.8026,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,451.887,3.47453,3.15758,1.57448,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,467.757,3.88818,12.694,1.6361,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,483.391,3.75547,4.09433,2.00136,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,499.088,4.05374,4.57789,1.79332,0,0,0,0,2.71249,4.09807,1.39849,0.00703,0.00703,0.00703
32,515.457,3.99859,3.76919,1.68451,0,0,0,0,2.95024,4.34154,1.54393,0.006931,0.006931,0.006931
33,531.409,3.86249,3.39579,1.63333,0,0,0,0,3.27835,4.71836,1.77656,0.006832,0.006832,0.006832
34,547.247,3.88453,3.75033,1.65278,0,0,0,0,3.47789,5.06314,1.86533,0.006733,0.006733,0.006733
35,562.976,4.1458,3.60314,1.74566,0,0,0,0,3.49629,4.99304,1.84969,0.006634,0.006634,0.006634
36,579.347,4.13624,3.56363,1.7641,0,0,0,0,3.18498,4.47672,1.62923,0.006535,0.006535,0.006535
37,595.02,3.92326,3.58931,1.65618,0,0,0,0,2.77081,3.79643,1.40692,0.006436,0.006436,0.006436
38,610.558,4.03961,3.54538,1.6476,0,0,0,0,2.40843,3.22373,1.19736,0.006337,0.006337,0.006337
39,625.961,3.75415,3.33611,1.7029,0,0,0,0,1.88597,2.48106,0.87669,0.006238,0.006238,0.006238
40,641.752,3.96602,3.35846,1.65454,0,0,0,0,2.26686,3.08617,1.13461,0.006139,0.006139,0.006139
41,657.686,3.97466,3.3665,1.6196,0,0,0,0,2.90335,3.95921,1.63561,0.00604,0.00604,0.00604
42,673.239,3.92685,3.52125,1.67754,0,0,0,0,3.18266,4.19031,1.89904,0.005941,0.005941,0.005941
43,689.184,3.86946,3.34467,1.61388,0,0,0,0,5.42278,7.54586,3.46761,0.005842,0.005842,0.005842
44,704.913,3.83633,3.35819,1.71013,0,0,0,0,5.42136,7.8049,3.66128,0.005743,0.005743,0.005743
45,720.958,3.92175,3.41488,1.5946,0,0,0,0,4.95951,7.80307,3.51678,0.005644,0.005644,0.005644
46,736.688,3.86584,3.33387,1.6031,0,0,0,0,4.8577,7.86072,3.44889,0.005545,0.005545,0.005545
47,752.76,3.78201,3.19257,1.67948,0,0,0,0,5.02747,7.87913,3.44132,0.005446,0.005446,0.005446
48,768.249,3.79571,3.13094,1.64655,0,0,0,0,5.1196,7.88264,3.32591,0.005347,0.005347,0.005347
49,784.31,3.76155,3.04804,1.52872,0,0,0,0,5.31426,7.88139,3.11001,0.005248,0.005248,0.005248
50,799.928,3.83111,3.0022,1.60502,0,0,0,0,5.4644,7.79598,2.74439,0.005149,0.005149,0.005149
51,815.81,3.7453,2.81308,1.54817,0,0,0,0,5.42791,7.56639,2.44727,0.00505,0.00505,0.00505
52,831.657,3.67161,2.85295,1.55922,0,0,0,0,5.16737,7.03212,2.22935,0.004951,0.004951,0.004951
53,847.577,3.62909,2.83924,1.98753,0,0,0,0,5.26762,7.1575,2.44684,0.004852,0.004852,0.004852
54,863.874,3.66539,2.9388,1.63165,0,0,0,0,5.41379,7.41858,2.69345,0.004753,0.004753,0.004753
55,879.683,3.54863,2.8634,1.59334,0,0,0,0,5.49991,7.58179,2.85651,0.004654,0.004654,0.004654
56,895.374,3.62108,2.86973,1.5258,0,0,0,0,5.43607,7.66053,2.83791,0.004555,0.004555,0.004555
57,910.986,3.50989,2.65532,1.506,0,0,0,0,5.34478,7.66586,2.83056,0.004456,0.004456,0.004456
58,927.348,3.38844,2.58313,1.40922,0,0,0,0,5.19526,7.65626,2.6961,0.004357,0.004357,0.004357
59,943.025,3.40404,2.72509,1.48686,0,0,0,0,5.13654,7.65156,2.65849,0.004258,0.004258,0.004258
